order_id,timestamp,location_x,location_y,prep_time_minutes,priority,sla_minutes
O082,2026-05-03 13:35:00,8,8,15,normal,53
O083,2026-05-03 13:38:00,2,3,10,low,58
O084,2026-05-03 13:42:00,9,2,8,high,44
O085,2026-05-03 13:45:00,5,2,14,normal,50
O086,2026-05-03 13:48:00,3,1,6,low,60
O087,2026-05-03 13:52:00,7,8,12,high,42
O088,2026-05-03 13:55:00,1,6,9,normal,52
O089,2026-05-03 13:58:00,6,3,11,low,62
O090,2026-05-03 14:02:00,4,9,7,high,41
O091,2026-05-03 14:05:00,8,1,13,normal,54
O092,2026-05-03 14:08:00,2,4,10,low,59
O093,2026-05-03 14:12:00,9,6,8,high,43
O094,2026-05-03 14:15:00,5,9,15,normal,51
O095,2026-05-03 14:18:00,3,2,6,low,61
O096,2026-05-03 14:22:00,7,4,12,high,45
O097,2026-05-03 14:25:00,1,8,9,normal,53
O098,2026-05-03 14:28:00,6,7,11,low,58
O099,2026-05-03 14:32:00,4,5,7,high,44
O100,2026-05-03 14:35:00,8,3,14,normal,50
O101,2026-05-03 14:38:00,2,9,10,low,60
O102,2026-05-03 14:42:00,9,4,8,high,42
O103,2026-05-03 14:45:00,5,1,13,normal,52
O104,2026-05-03 14:48:00,3,6,6,low,62
O105,2026-05-03 14:52:00,7,2,12,high,41
O106,2026-05-03 14:55:00,1,4,9,normal,54
O107,2026-05-03 14:58:00,6,8,11,low,59
O108,2026-05-03 15:02:00,4,1,7,high,43
O109,2026-05-03 15:05:00,8,7,15,normal,51
O110,2026-05-03 15:08:00,2,5,10,low,61
O111,2026-05-03 15:12:00,9,9,8,high,45
O112,2026-05-03 15:15:00,5,3,14,normal,53
O113,2026-05-03 15:18:00,3,8,6,low,58
O114,2026-05-03 15:22:00,7,6,12,high,44
O115,2026-05-03 15:25:00,1,2,9,normal,50
O116,2026-05-03 15:28:00,6,4,11,low,60
O117,2026-05-03 15:32:00,4,3,7,high,42
O118,2026-05-03 15:35:00,8,5,13,normal,52
O119,2026-05-03 15:38:00,2,7,10,low,62
O120,2026-05-03 15:42:00,9,1,8,high,41
O121,2026-05-03 15:45:00,5,7,15,normal,54
O122,2026-05-03 15:48:00,3,4,6,low,59
O123,2026-05-03 15:52:00,7,9,12,high,43
O124,2026-05-03 15:55:00,1,5,9,normal,51
O125,2026-05-03 15:58:00,6,1,11,low,61
O126,2026-05-03 16:02:00,4,8,7,high,45
O127,2026-05-03 16:05:00,8,2,14,normal,53
O128,2026-05-03 16:08:00,2,6,10,low,58
O129,2026-05-03 16:12:00,9,3,8,high,44
O130,2026-05-03 16:15:00,5,5,13,normal,50
O131,2026-05-03 16:18:00,3,9,6,low,60
O132,2026-05-03 16:22:00,7,7,12,high,42
O133,2026-05-03 16:25:00,1,3,9,normal,52
O134,2026-05-03 16:28:00,6,6,11,low,62
O135,2026-05-03 16:32:00,4,4,7,high,41
O136,2026-05-03 16:35:00,8,9,15,normal,54
O137,2026-05-03 16:38:00,2,2,10,low,59
O138,2026-05-03 16:42:00,9,7,8,high,43
O139,2026-05-03 16:45:00,5,8,14,normal,51
O140,2026-05-03 16:48:00,3,3,6,low,61
O141,2026-05-03 16:52:00,7,1,12,high,45
O142,2026-05-03 16:55:00,1,9,9,normal,53
O143,2026-05-03 16:58:00,6,2,11,low,58
O144,2026-05-03 17:02:00,4,6,7,high,44
O145,2026-05-03 17:05:00,8,4,13,normal,50
O146,2026-05-03 17:08:00,2,8,10,low,60
O147,2026-05-03 17:12:00,9,5,8,high,42
O148,2026-05-03 17:15:00,5,6,15,normal,52
O149,2026-05-03 17:18:00,3,5,6,low,62
O150,2026-05-03 17:22:00,7,3,12,high,41
